Institution,Award Cycle,Project Title,Collaborating Institutions,Project Description Page,City,State,Country
North Carolina State University Libraries,2011,Acting for Animals: Revealing the Records of Animal Rights and Animal Welfare Movements,,http://www.clir.org/hiddencollections/awards/for-2011,Raleigh,NC,United States of America
Northeast Historic Film,2009,"Intellectual Access to Moving Images of Work Life, 1916-1950",,http://www.clir.org/hiddencollections/awards/for-2009,Bucksport,ME,United States of America
Northeast Historic Film,2010,Moving Images 1938-1940: Amateur Filmmakers Record the New York World's Fair and Its Period,George Eastman House International Museum of Photography and Film; Queens Museum of Art,http://www.clir.org/hiddencollections/awards/for-2010,Bucksport,ME,United States of America
Northwestern University Library,2008,The Africana Posters: Hidden Collections of Northwestern and Michigan State University Libraries,Michigan State University Libraries,http://www.clir.org/hiddencollections/awards/for-2008,Evanston,IL,United States of America
Princeton University,2013,Princeton University Library's Latin American Ephemera Project,,http://www.clir.org/hiddencollections/awards/for-2013,Princeton,NJ,United States of America
"Rutgers, the State University of New Jersey",2011,Cataloging Women in Jazz Collections at the Institute of Jazz Studies,,http://www.clir.org/hiddencollections/awards/for-2011,Newark,NJ,United States of America
San Diego Air and Space Museum,2012,Increasing Access to Our Aerospace Heritage,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,San Diego,CA,United States of America
San Diego Historical Society,2010,Enhancing Access to the History of San Diego and the Border Region,,http://www.clir.org/hiddencollections/awards/for-2010,San Diego,CA,United States of America
San Diego Museum of Man,2011,Capturing History: Cataloging the San Diego Museum of Man's Photographic Collection,,http://www.clir.org/hiddencollections/awards/for-2011,San Diego,CA,United States of America
San Diego Museum of Man,2013,"Cataloging Hidden Collections: San Diego Museum of ManÕs Archaeology, Archival and Photographic Collections",,http://www.clir.org/hiddencollections/awards/for-2013,San Diego,CA,United States of America
Smithsonian Institution Archives,2009,Exposing Biodiversity Fieldbooks and Original Expedition Journals at the Smithsonian Institution,,http://www.clir.org/hiddencollections/awards/for-2009,Washington,DC,United States of America
"Smithsonian Institution, Freer Gallery of Art and Arthur M. Sackler Gallery",2010,Islamic Arts of the Book at the Smithsonian: Providing for Research Across Disciplines,,http://www.clir.org/hiddencollections/awards/for-2010,Washington,DC,United States of America
Stanford University,2010,Documenting Mexican American & Latino Civil Rights: Records of the Mexican American Legal Defense and Educational Fund & CA Rural Legal Assistance,,http://www.clir.org/hiddencollections/awards/for-2010,Stanford,CA,United States of America
Stanford University,2012,Documenting Climate Change: The Papers of Stephen H. Schneider,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Stanford,CA,United States of America
"State University of New York, University at Albany",2013,Building New Access Tools for the National Death Penalty Archive,,http://www.clir.org/hiddencollections/awards/for-2013,Albany,NY,United States of America
Syracuse University,2010,Grove Press and a New American Morality,,http://www.clir.org/hiddencollections/awards/for-2010,Syracuse,NY,United States of America
"Texas A&M University, Cushing Memorial Library and Archives",2011,Discovering a New World: Cataloging Old and Rare Imprints from Colonial and Early Independent Mexico,,http://www.clir.org/hiddencollections/awards/for-2011,College Station,TX,United States of America
Union College,2013,ÒGrass Roots Activism and the American Wilderness:  Pioneers in the Twentieth Century Adirondack Park Conservation MovementÓ,,http://www.clir.org/hiddencollections/awards/for-2013,Schenectady,NY,United States of America
United States Holocaust Memorial Museum,2012,Oral History Cataloging Project,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Washington,DC,United States of America
University of California at Santa Barbara,2012,Foreign and Ethnic 78s in the UC Santa Barbara Sound Archives,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Santa Barbara,CA,United States of America
"University of California, Berkeley",2010,Cataloging Hidden Archives of the University of California Museum of Paleontology,,http://www.clir.org/hiddencollections/awards/for-2010,Berkeley,CA,United States of America
"University of California, Berkeley, Museum of Vertebrate Zoology",2011,Cataloging Hidden Archives of the Museum of Vertebrate Zoology: Increasing  Integration and Accessibility for Interdisciplinary Research,,http://www.clir.org/hiddencollections/awards/for-2011,Berkeley,CA,United States of America
"University of California, Berkeley, University and Jepson Herbaria",2008,Cataloging Hidden Archives of Western Botany and Beyond,,http://www.clir.org/hiddencollections/awards/for-2008,Berkeley,CA,United States of America
"University of California, Santa Barbara, University Art Museum",2011,Cataloguing Southern California's architectural history,,http://www.clir.org/hiddencollections/awards/for-2011,Santa Barbara,CA,United States of America
Adirondack Historical Association,2014,Living with Wilderness: Enhancing Access to the The Adirondack Museum Historic Photograph Collection,,,Blue Mountain Lake,NY,United States of America
"Appalshop, Inc.",2014,We Still Scream:  The Mountain Eagle/Tom and Pat Gish Archives,The Mountain Eagle,,Whitesburg,KY,United States of America
Bowling Green State University,2014,Getting to the Core: Cataloging 45-RPM Records,,,Bowling Green,OH,United States of America
Computer History Musuem,2014,Computer History Museum Archives Processing Project (CHM APP),,,Mountain View,CA,United States of America
Go For Broke National Education Center,2014,"Segregated Japanese American Military Units of World War II: A Collaborative Online Repository of Oral Histories, Photos and Documents",Japanese American Service Center; Seattle Nisei Veterans Committee Foundation; Nisei Veterans Memorial Center; Military Intelligence Service Veterans Club,,Torrance,CA,United States of America
Harvard University,2014,"Bridging the Research Data Divide: Rethinking long-term value and access for historical and contemporary maternal, infant and child research",University of Alberta Libraries,,Boston,MA,United States of America
Haverford College,2014,"Quaker diaries, journals, commonplace books and small manuscript collections",,,Haverford,PA,United States of America
Johns Hopkins University,2014,Processing the Globe Collection and Press,Maryland Institute College of Art,,Baltimore,MD,United States of America
Solomon R. Guggenheim Foundation,2014,Illuminating New York's Art and Performance Heritage from the 1960s to the Present: Solomon R. Guggenheim Museum Archives Audiovisual Collections,,,New York,NY,United States of America
Storefront for Art and Architecture,2014,Arranging and Describing Storefront's Archive,,,New York,NY,United States of America
The Mariners' Museum Library,2014,The Maritime World in Photographs: Cataloguing the Photo Negatives of The Mariners' Museum,,,Newport News,VA,United States of America
Trace Foundation/Latse Library,2014,Tibetan Audio-Visual Collections at Trace Foundation's Latse Library,,,New York,NY,United States of America
University of California,2014,La Raza Newspaper & Magazine Records: Providing Access to the Mexican American Civil Rights Movement,,,Los Angeles,CA,United States of America
University of Illinois,2014,Cataloging Cavagna: Italian imprints from the Sixteenth through the Nineteenth Century,,,Champaign,IL,United States of America
University of Kentucky,2014,"Action in Appalachia: Revealing Public Health, Housing, and Community Development records in the UK Libraries Special Collections Research Center",,,Lexington,KY,United States of America
University of Virginia,2014,Hidden in Plain Sight,,,Charlottesville,VA,United States of America
Wellesley College,2014,"The Wellesley Centers for Women records, 1974-",,,Wellesley,MA,United States of America
WGBH Educational Foundation,2014,National Educational Television Collection Catalog,Library of Congress,,Boston,MA,United States of America
"WHYY, Inc.",2014,Fresh Air in the Sunlight: Opening Access to Forty Years of WHYY's Fresh Air with Terry Gross,Drexel University,,Philadelphia,PA,United States of America
